cons,old,new
CIV_K,621,12
CIV_L,622,12
CIV_M,623,12
CIV_N,624,12
CIV_O,625,12
CIV_P,626,12
CIV_Q,627,12
CIV_R,628,12
CIV_S,629,12
CIV_T,630,12
CMR_A01_02,631,10
CMR_A03,632,10
CMR_B05_06,633,11
CMR_B07_08,634,11
CMR_B09,635,11
CMR_C10T12,636,11
CMR_C13T15,637,11
CMR_C16,638,11
CMR_C17_18,639,11
CMR_C19,640,11
CMR_C20,641,11
CMR_C21,642,11
CMR_C22,643,11
CMR_C23,644,11
CMR_C24,645,11
CMR_C25,646,11
CMR_C26,647,11
CMR_C27,648,11
CMR_C28,649,11
CMR_C29,650,11
CMR_C30,651,11
CMR_C31T33,652,11
CMR_D,653,12
CMR_E,654,12
CMR_F,655,12
CMR_G,656,12
CMR_H49,657,12
CMR_H50,658,12
CMR_H51,659,12
CMR_H52,660,12
CMR_H53,661,12
CMR_I,662,12
CMR_J58T60,663,12
CMR_J61,664,12
CMR_J62_63,665,12
CMR_K,666,12
CMR_L,667,12
CMR_M,668,12
CMR_N,669,12
CMR_O,670,12
CMR_P,671,12
CMR_Q,672,12
CMR_R,673,12
CMR_S,674,12
CMR_T,675,12
COL_A01_02,676,10
COL_A03,677,10
COL_B05_06,678,11
COL_B07_08,679,11
COL_B09,680,11
COL_C10T12,681,11
COL_C13T15,682,11
COL_C16,683,11
COL_C17_18,684,11
COL_C19,685,11
COL_C20,686,11
COL_C21,687,11
COL_C22,688,11
COL_C23,689,11
COL_C24,690,11
COL_C25,691,11
COL_C26,692,11
COL_C27,693,11
COL_C28,694,11
COL_C29,695,11
COL_C30,696,11
COL_C31T33,697,11
COL_D,698,12
COL_E,699,12
COL_F,700,12
COL_G,701,12
COL_H49,702,12
COL_H50,703,12
COL_H51,704,12
COL_H52,705,12
COL_H53,706,12
COL_I,707,12
COL_J58T60,708,12
COL_J61,709,12
COL_J62_63,710,12
COL_K,711,12
COL_L,712,12
COL_M,713,12
COL_N,714,12
COL_O,715,12
COL_P,716,12
COL_Q,717,12
COL_R,718,12
COL_S,719,12
COL_T,720,12
CRI_A01_02,721,10
CRI_A03,722,10
CRI_B05_06,723,11
CRI_B07_08,724,11
CRI_B09,725,11
CRI_C10T12,726,11
CRI_C13T15,727,11
CRI_C16,728,11
CRI_C17_18,729,11
CRI_C19,730,11
CRI_C20,731,11
CRI_C21,732,11
CRI_C22,733,11
CRI_C23,734,11
CRI_C24,735,11
CRI_C25,736,11
CRI_C26,737,11
CRI_C27,738,11
CRI_C28,739,11
CRI_C29,740,11
CRI_C30,741,11
CRI_C31T33,742,11
CRI_D,743,12
CRI_E,744,12
CRI_F,745,12
CRI_G,746,12
CRI_H49,747,12
CRI_H50,748,12
CRI_H51,749,12
CRI_H52,750,12
CRI_H53,751,12
CRI_I,752,12
